,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Stanford,Pac-10,4,12,1,11.33,10.47,21.80,45.54,12.56,9.39,5.97,4.55,4.55,6.72,5.17,2010
1,Oregon,Pac-10,3,12,1,13.04,8.50,21.54,51.13,14.36,8.43,5.29,5.28,4.28,6.68,4.71,2010
2,Auburn,SEC (West),1,14,0,16.15,4.52,20.66,46.36,18.58,10.60,6.13,5.84,3.94,7.52,5.19,2010
3,Boise State,WAC,9,12,1,5.85,12.84,18.69,44.94,12.13,9.84,4.95,4.07,4.18,6.92,4.26,2010
4,Alabama,SEC (West),10,10,3,4.12,14.19,18.31,39.34,9.36,9.79,5.37,4.60,3.96,6.93,4.53,2010
5,Texas Christian,MWC,2,13,0,5.64,12.32,17.96,41.33,12.25,8.98,4.78,4.26,4.42,6.23,4.49,2010
6,Ohio State,Big Ten,5,12,1,4.66,12.70,17.37,39.18,12.59,8.45,5.12,4.35,3.81,6.09,4.44,2010
7,Oklahoma,Big 12 (South),6,12,2,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.60,4.73,5.52,5.18,2010
8,Oklahoma State,Big 12 (South),13,11,2,15.10,1.53,16.62,45.46,22.96,8.54,5.97,4.08,4.53,6.55,5.17,2010
9,LSU,SEC (West),8,11,2,6.33,8.80,15.13,34.77,14.81,7.33,5.65,4.22,4.42,5.46,4.82,2010
10,Arkansas,SEC (West),12,10,3,11.35,3.13,14.48,41.59,19.80,9.90,6.34,4.29,4.62,7.23,5.24,2010
11,Florida State,ACC (Atlantic),17,10,4,6.93,7.27,14.20,36.82,16.63,8.03,6.49,4.42,4.38,6.07,5.28,2010
12,Virginia Tech,ACC (Coastal),16,11,3,7.39,6.64,14.03,36.14,17.19,8.59,6.49,4.16,5.57,5.98,5.85,2010
13,Wisconsin,Big Ten,7,11,2,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,5.58,2010
