,Jan,Aug,Sept,Oct,Nov,Dec,Team1Site,Team2Site,Team1_Win_Precentage,ML1,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team1_ACC,Team1_American,Team1_Big12,Team1_BigEast,Team1_BigTen,Team1_CUSA,Team1_Ind,Team1_MAC,Team1_MWC,Team1_Pac-10,Team1_Pac-12,Team1_SEC,Team1_SunBelt,Team1_WAC,Team2_Win_Precentage,ML2,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_ACC,Team2_American,Team2_Big12,Team2_BigEast,Team2_BigTen,Team2_CUSA,Team2_Ind,Team2_MAC,Team2_MWC,Team2_Pac-10,Team2_Pac-12,Team2_SEC,Team2_SunBelt,Team2_WAC,Team2_TotalDef,Spread_Open,Spread_Close
4288,0,0,1,0,0,0,1,-1,0.3333333333333333,460,67.0,4.0,8.0,0.56,-1.51,-0.95,43.75,12.81,8.97,6.09,5.31,2.99,6.92,4.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7692307692307693,-585,11.0,10.0,3.0,10.99,3.33,14.33,56.56,6.66,10.93,4.74,7.35,3.16,8.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,10.0,13.5
5732,0,0,0,0,1,0,1,-1,0.5384615384615384,100,67.0,7.0,6.0,-1.73,-2.57,-4.3,72.43,-14.63,12.34,2.17,8.41,0.27,9.85,1.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4166666666666667,-120,67.0,5.0,7.0,-0.94,-3.45,-4.39,73.18,-14.63,11.68,1.94,9.25,0.4,9.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6,4.0,1.0
2419,0,0,0,0,0,1,0,0,0.5,465,67.0,7.0,7.0,5.42,-0.24,5.18,36.72,25.48,9.19,7.18,4.5,5.42,6.09,5.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,-590,10.0,12.0,2.0,3.12,10.44,13.56,40.18,15.31,8.16,5.51,4.71,4.2,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,13.0,15.5
5231,0,0,1,0,0,0,1,-1,0.5384615384615384,-7000,67.0,7.0,6.0,4.06,0.29,4.35,80.66,-19.15,14.29,2.15,8.88,1.42,10.76,2.19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16666666666666666,3000,67.0,2.0,10.0,-9.6,-9.26,-18.86,63.0,-0.99,11.47,3.09,6.52,1.36,8.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.47,-32.5,-28.5
2019,0,0,0,1,0,0,1,-1,0.8571428571428571,-5190,10.0,12.0,2.0,3.12,10.44,13.56,40.18,15.31,8.16,5.51,4.71,4.2,6.8,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,2490,67.0,2.0,10.0,-5.75,-0.99,-6.74,22.49,27.91,6.24,6.97,2.27,5.71,4.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,-28.0,-28.5
4756,0,0,0,0,1,0,1,-1,0.4166666666666667,165,67.0,5.0,7.0,-11.36,-4.09,-15.45,27.15,21.71,6.65,7.87,4.4,4.26,5.42,5.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4166666666666667,-185,67.0,5.0,7.0,-5.19,-6.45,-11.63,35.96,25.71,8.15,8.7,4.7,4.41,6.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.32,6.0,4.0
1421,0,0,0,0,1,0,1,-1,0.4166666666666667,710,67.0,5.0,7.0,7.57,-5.69,1.88,36.06,33.86,6.31,9.09,3.53,5.39,5.46,6.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9230769230769232,-1010,3.0,12.0,1.0,18.6,5.54,24.14,51.93,18.37,7.85,6.63,5.24,4.56,7.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.33,19.5,19.5
2143,0,0,0,1,0,0,1,-1,0.5,-125,67.0,7.0,7.0,5.42,-0.24,5.18,36.72,25.48,9.19,7.18,4.5,5.42,6.09,5.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6153846153846154,105,67.0,8.0,5.0,-0.67,9.44,8.77,29.89,14.91,5.96,6.57,2.96,4.41,4.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,-2.0,-2.5
4958,0,0,0,0,1,0,1,-1,0.16666666666666666,110,67.0,2.0,10.0,-9.71,-7.32,-17.03,32.58,19.87,8.82,6.74,5.33,4.05,6.59,5.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,-130,67.0,3.0,9.0,-3.03,-7.38,-10.42,42.98,21.02,8.84,5.5,5.71,4.62,6.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.23,3.0,2.0
225,0,0,1,0,0,0,1,-1,0.3333333333333333,425,67.0,4.0,8.0,1.2,-3.13,-1.93,30.94,28.16,7.44,7.72,4.18,4.73,5.91,5.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,-550,6.0,12.0,2.0,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.6,4.73,5.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.18,18.0,13.5
