,Date,Month,Team1Site,Team2Site,Team1,Team1_Win_Precentage,Final1,Open1,Close1,ML1,Team1_Conf,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team2,Team2_Win_Precentage,Final2,Open2,Close2,ML2,Team2_Conf,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_TotalDef,Team1_Win,Total_Open,Total_Close,Spread_Open,Spread_Close,Team1_Point_Dif,Team1Cover,Over_Under
0,9/02/2010,9,H,V,SouthCarolina,0.6428571428571429,41,13.5,13.0,-500,SEC ,22.0,9.0,5.0,5.77,7.2,12.97,35.43,16.75,9.01,6.42,3.81,3.71,6.11,5.05,SouthernMiss,0.6153846153846154,13,48.0,46.5,400,CUSA ,67.0,8.0,5.0,7.93,-6.14,1.79,32.94,30.88,6.59,7.55,3.62,4.76,5.08,6.1,1,48.0,46.5,-13.5,-13.0,28,1,O
1,9/02/2010,9,H,V,OhioState,0.9230769230769231,45,28.5,28.0,-5500,Big Ten,5.0,12.0,1.0,4.66,12.7,17.37,39.18,12.59,8.45,5.12,4.35,3.81,6.09,4.44,Marshall,0.4166666666666667,7,47.0,46.5,2750,CUSA ,67.0,5.0,7.0,-6.5,-3.23,-9.73,18.66,30.41,6.11,6.66,2.48,5.05,4.48,5.77,1,47.0,46.5,-28.5,-28.0,38,1,O
2,9/02/2010,9,H,V,IowaState,0.4166666666666667,27,3.0,4.0,-190,Big 12 ,67.0,5.0,7.0,-1.37,1.8,0.43,25.27,25.85,5.83,6.98,2.9,5.33,4.35,5.82,NoIllinois,0.7857142857142857,10,47.0,51.0,165,MAC ,67.0,11.0,3.0,2.35,1.96,4.32,33.37,24.53,7.43,7.18,4.95,5.48,6.08,6.21,1,47.0,51.0,-3.0,-4.0,17,1,U
3,9/02/2010,9,H,V,Utah,0.7692307692307693,27,3.5,3.5,-160,MWC,67.0,10.0,3.0,2.92,5.38,8.3,35.2,20.02,8.19,7.3,3.67,4.45,5.99,5.64,PittsburghU,0.6153846153846154,24,50.0,48.0,140,Big East,67.0,8.0,5.0,1.76,5.64,7.4,29.79,18.55,7.52,6.19,4.02,4.29,5.67,5.07,1,50.0,48.0,-3.5,-3.5,3,0,O
4,9/02/2010,9,H,V,Hawaii,0.7142857142857143,36,53.5,51.0,752,WAC,67.0,10.0,4.0,5.69,0.86,6.55,37.78,25.54,8.71,6.85,3.49,4.93,6.91,5.68,USC,0.6153846153846154,49,19.0,20.5,-975,Pac-10,67.0,8.0,5.0,8.08,1.48,9.57,37.27,20.35,7.45,6.65,4.58,5.11,6.07,5.77,0,53.5,51.0,19.0,20.5,-13,1,O
5,9/02/2010,9,H,V,MiddleTennSt,0.46153846153846156,17,4.5,51.0,110,Sun Belt,67.0,6.0,7.0,-3.79,-6.81,-10.59,20.26,34.49,5.73,7.04,3.1,5.71,4.42,5.99,MinnesotaU,0.25,24,52.5,1.0,-130,Big Ten,67.0,3.0,9.0,0.37,-5.43,-5.06,26.59,30.4,7.65,8.31,2.9,5.86,5.12,6.76,0,52.5,51.0,4.5,1.0,-7,0,U
6,9/02/2010,9,H,V,UAB,0.3333333333333333,31,12.5,13.0,-550,CUSA ,67.0,4.0,8.0,-1.29,-7.91,-9.2,23.67,33.69,6.68,7.35,3.66,5.45,5.28,6.25,FloridaAtlantic,0.3333333333333333,32,54.5,49.0,425,Sun Belt,67.0,4.0,8.0,-11.47,-4.43,-15.9,13.06,32.79,7.18,7.74,1.73,5.76,4.41,6.26,0,54.5,49.0,-12.5,-13.0,-1,0,O
18,9/03/2010,9,H,V,Toledo,0.6153846153846154,2,57.5,58.5,475,MAC ,67.0,8.0,5.0,-0.69,-3.02,-3.7,25.97,31.07,6.84,6.88,3.23,5.24,4.96,5.95,ArizonaU,0.5384615384615384,41,14.5,15.0,-650,Pac-10,67.0,7.0,6.0,2.76,5.38,8.14,33.6,16.37,8.19,6.08,3.38,4.19,6.0,4.91,0,57.5,58.5,14.5,15.0,-39,0,U
20,9/04/2010,9,H,V,MichiganState,0.8461538461538461,38,20.5,22.5,-1518,Big Ten,14.0,11.0,2.0,4.4,5.51,9.91,31.79,21.05,8.36,6.29,3.63,4.76,5.88,5.5,WesternMichigan,0.5,14,56.5,51.0,1132,MAC ,67.0,6.0,6.0,-1.47,-2.63,-4.1,27.8,28.66,6.84,8.17,2.57,5.91,4.94,6.63,1,56.5,51.0,-20.5,-22.5,24,1,O
21,9/04/2010,9,H,V,Florida,0.6153846153846154,34,30.5,38.0,-27000,SEC ,67.0,8.0,5.0,5.35,3.95,9.3,35.7,19.07,6.77,5.53,3.94,4.3,5.26,4.75,MiamiOhio,0.7142857142857143,12,53.0,54.0,13000,MAC ,67.0,10.0,4.0,-6.14,0.27,-5.86,18.35,28.07,6.72,7.62,1.97,5.35,4.61,6.31,1,53.0,54.0,-30.5,-38.0,22,0,U
